Artist_ID,Artist_ID,Artist,Genre_ID
0,0,Norah Jones,0
1,1,Elvis Presley,0
2,2,Barry White,0
3,3,The Temptations,0
4,4,Michael Bublé,0
5,5,Tavares,0
6,6,Bee Gees,0
7,7,Sam Cooke,0
8,8,Lionel Richie,0
9,9,Stevie Wonder,0
10,10,Sammy Davis Jr.,0
11,11,Roy Orbison,0
12,12,Ray Charles,0
13,13,Frank Sinatra,0
14,14,Neil Diamond,0
15,15,James Taylor,0
16,16,Chicago,0
17,17,Carpenters,0
18,18,Don McLean,0
19,19,Gilbert O'Sullivan,0
20,20,Carole King,0
21,21,Rod Stewart,0
22,22,Jim Croce,0
23,23,Carly Simon,0
24,24,John Denver,0
25,25,The Hollies,0
26,26,Barry Manilow,0
27,27,Barbra Streisand,0
28,28,Diana Ross,0
29,29,Bette Midler,0
30,30,Art Garfunkel,0
31,31,The Shadows,0
32,32,The Jackson 5,0
33,33,Andrea Bocelli,0
34,34,Gerry & The Pacemakers,0
35,35,Eva Cassidy,0
36,36,Etta James,0
37,37,Ben E. King,0
38,38,The Righteous Brothers,0
39,39,Nina Simone,0
40,40,The Mamas & The Papas,0
41,41,Aretha Franklin,0
42,42,Tom Jones,0
43,43,Louis Armstrong,0
44,44,Dusty Springfield,0
45,45,Roberta Flack,0
46,46,Fats Domino,0
47,47,Deep Purple,1
48,48,Ten Years After,1
49,49,Robert Plant,1
50,50,Golden Earring,1
51,51,Status Quo,1
52,52,David Bowie,1
53,53,The Bangles,1
54,54,Pat Benatar,1
55,55,The Cult,1
56,56,Neil Young,1
57,57,Fish,1
58,58,Billy Joel,1
59,59,Mike Oldfield,1
60,60,Tom Petty and the Heartbreakers,1
61,61,10cc,1
62,62,Focus,1
63,63,Paul McCartney,1
64,64,The Rolling Stones,1
65,65,Ram Jam,1
66,66,"Emerson, Lake & Palmer",1
67,67,Scorpions,1
68,68,Derek & The Dominos,1
69,69,The Who,1
70,70,Eric Clapton,1
71,71,John Lennon,1
72,72,The Moody Blues,1
73,73,Procol Harum,1
74,74,Jackson Browne,1
75,75,Black Sabbath,1
76,76,Creedence Clearwater Revival,1
77,77,Led Zeppelin,1
78,78,"Crosby, Stills, Nash & Young",1
79,79,The Doors,1
80,80,George Harrison,1
81,81,Pink Floyd,1
82,82,Alice Cooper,1
83,83,Jethro Tull,1
84,84,Yes,1
85,85,Eagles,1
86,86,America,1
87,87,The Kinks,1
88,88,Uriah Heep,1
89,89,Thin Lizzy,1
90,90,The Doobie Brothers,1
91,91,Steely Dan,1
92,92,Aerosmith,1
93,93,Lynyrd Skynyrd,1
94,94,ZZ Top,1
95,95,Genesis,1
96,96,Bob Dylan,1
97,97,Steve Miller Band,1
98,98,Slade,1
99,99,Supertramp,1
100,100,Joe Cocker,1
101,101,Sweet,1
102,102,Bachman-Turner Overdrive,1
103,103,Electric Light Orchestra,1
104,104,Fleetwood Mac,1
105,105,Nazareth,1
106,106,Little River Band,1
107,107,Heart,1
108,108,Peter Frampton,1
109,109,Roxy Music,1
110,110,Boston,1
111,111,Blue Öyster Cult,1
112,112,Kansas,1
113,113,Manfred Mann's Earth Band,1
114,114,Meat Loaf,1
115,115,AC/DC,1
116,116,Peter Gabriel,1
117,117,Foreigner,1
118,118,Cheap Trick,1
119,119,The Babys,1
120,120,Dire Straits,1
121,121,The Police,1
122,122,TOTO,1
123,123,Gerry Rafferty,1
124,124,Van Halen,1
125,125,KISS,1
126,126,Frank Zappa,1
127,127,Motörhead,1
128,128,The Alan Parsons Project,1
129,129,REO Speedwagon,1
130,130,Rush,1
131,131,Journey,1
132,132,Jon & Vangelis,1
133,133,Iron Maiden,1
134,134,Joe Jackson,1
135,135,Stevie Ray Vaughan,1
136,136,Bryan Adams,1
137,137,Don Henley,1
138,138,Survivor,1
139,139,Mr. Mister,1
140,140,Gary Moore,1
141,141,Europe,1
142,142,Bruce Hornsby,1
143,143,Whitesnake,1
144,144,Mike & The Mechanics,1
145,145,Traveling Wilburys,1
146,146,Tom Petty,1
147,147,Queensrÿche,1
148,148,Extreme,1
149,149,The Black Crowes,1
150,150,Al Stewart,1
151,151,Ozzy Osbourne,1
152,152,Paul Young,1
153,153,Marillion,1
154,154,Wings,1
155,155,Men At Work,1
156,156,The Animals,1
157,157,Jefferson Airplane,1
158,158,Jimi Hendrix,1
159,159,Cream,1
160,160,The Band,1
161,161,Steppenwolf,1
162,162,"Crosby, Stills & Nash",1
163,163,Gorillaz,2
164,164,Foo Fighters,3
165,165,Linkin Park,3
